p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Print_Pattern_Type,Sustainable,Knit_or_Woven,Fabric,Fabric_Purity,brandID
12222036.0,SASSAFRAS Black High Neck Cropped Top,999.0,Black,SASSAFRAS,19656.0,4.488146113,Casual,Solid,Regular,Knitted,Cotton Blend,,720
12737904.0,SASSAFRAS Women Off-White Puff Sleeve Faux Fur Solid Sweatshirt,1999.0,Off White,SASSAFRAS,2111.0,4.384651824,Casual,Solid,Regular,Knitted,Polyester,,720
13000352.0,SASSAFRAS Women Blue Pure Cotton Relaxed Fit High-Rise Clean Look Cropped Jeans,1999.0,Blue,SASSAFRAS,6150.0,4.210894309,Casual,Solid,Regular,Knitted and Woven,Cotton,,720
13419838.0,Readiprint Fashions Pink & Beige Net Embroidered Semi-Stitched Dress Material,8050.0,Pink,Readiprint Fashions,149.0,4.234899329,Festive,Ethnic Motifs,Regular,Woven,Shantoon,,690
14170550.0,Nayo Women's Maroon & Cream-Coloured Printed Tunic,1299.0,Maroon,Nayo,1176.0,4.210884354,Ethnic,Printed,Regular,Knitted and Woven,Cotton,,579
14709966.0,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,3699.0,Red,Nayo,4113.0,4.088986142,Daily,Ethnic Motifs,Regular,Woven,Pure Cotton,,579
16109614.0,Zastraa Women Black Solid High-Rise Parallel Trousers,2999.0,Black,Zastraa,541.0,4.290203327,Casual,Solid,Sustainable,Knitted,Polyester,,947
16596854.0,anayna Women White Palazzos,1799.0,White,anayna,48.0,4.166666667,Western,Solid,Regular,Woven,Viscose Rayon,,962
17150536.0,VASTRANAND Peach-Coloured & Multicoloured Kalamkari Sequinned Linen Blend Block Print Saree,5555.0,Peach,VASTRANAND,269.0,4.237918216,Party,Kalamkari,Regular,Woven,Linen Blend,,882
17405158.0,Kvsfab Charming Maroon Embroidered Ready to Wear Lehenga Choli with Dupatta,8649.0,Maroon,Kvsfab,56.0,4.142857143,Casual,Solid,Regular,Woven,Poly Georgette,,449
17449506.0,Sangria Beige & Yellow Ethnic Motifs Phulkari Embroidered Dupatta,3199.0,Beige,Sangria,12.0,3.333333333,Party,Ethnic Motifs,Regular,Woven,Poly Chiffon,,762
